Capítulo,PERSONAGEM CENTRAL,LOCALIZAÇÃO,CONTEXTO,ENSINAMENTO PRINCIPAL,MANIFESTAÇÕES MIRACULOSAS,DIÁLOGO PRINCIPAL,ASSEMBLEIA PRESENTE,PROGRESSÃO ESPIRITUAL,TRANSIÇÃO,ELEMENTOS ÚNICOS
CAPÍTULO 29: VEṢṬHILA,O chefe de família (householder) Veṣṭhila.,A cidade de Śubhapāraṃgama.,"Sudhana encontra Veṣṭhila, um devoto que faz oferendas a um santuário que contém um trono de sândalo de um Tathāgata. Ele representa a realização que surge da devoção e da compreensão da natureza contínua e incessante dos budas.","A liberação do bodhisattva chamada ""o alcance do cume da inexauribilidade"". O ensinamento fundamental é que os Tathāgatas, na verdade, nunca entram no parinirvāṇa final; eles apenas manifestam isso como um meio hábil para inspirar os seres. Através desta compreensão, Veṣṭhila alcançou o samādhi chamado ""a exibição da família incessante dos budas"".","A principal manifestação é a visão de Veṣṭhila. Ao entrar em samādhi, ele percebe, em um único instante mental, a sucessão ininterrupta de todos os budas do passado, presente e futuro. Essa visão se expande exponencialmente, de cem budas para um número igual aos átomos em incontáveis reinos búdicos. Ele não apenas vê os budas, mas toda a sua jornada: suas primeiras aspirações, a purificação de seus reinos, a realização das perfeições e o giro da Roda do Dharma.","Veṣṭhila explica a Sudhana que sua realização surgiu ao abrir a porta do santuário. Ele detalha sua visão da sucessão ininterrupta de todos os budas dos três tempos e através de todos os reinos, afirmando que retém perfeitamente todos os seus ensinamentos. Ele enfatiza que esta sucessão de budas é incessante e conhecida apenas através da fé e diligência.","A assembleia é visionária, composta pela linhagem infinita de todos os budas do passado, presente e futuro, que aparecem na mente de Veṣṭhila através de seu samādhi.","Sudhana aprende sobre a continuidade da presença búdica. Ele compreende que o parinirvāṇa é um meio hábil e que a atividade iluminada é incessante. A lição sobre a ""família dos budas"" reforça a ideia de uma linhagem contínua de sabedoria e compaixão que transcende o tempo.","Veṣṭhila humildemente admite que só conhece esta liberação. Ele então dá a Sudhana uma das mais famosas direções da jornada: ir para o sul, para o Monte Potalaka, a residência do bodhisattva Avalokiteśvara. Ele descreve a beleza da morada de Avalokiteśvara em versos poéticos, preparando Sudhana para o encontro com o grande bodhisattva da compaixão.","A Natureza do Nirvāṇa: O capítulo oferece um ensinamento profundo sobre o nirvāṇa não ser uma aniquilação, mas uma manifestação didática.; Visão da Linhagem Búdica: A descrição vívida da sucessão exponencial e ininterrupta de todos os budas como uma única família contínua.; Devoção a Relíquias: A prática de Veṣṭhila de venerar um santuário serve como o catalisador para sua profunda realização, mostrando o poder da devoção.; Introdução a Avalokiteśvara: O capítulo serve como uma introdução formal e poética ao Monte Potalaka e a Avalokiteśvara, uma das figuras mais importantes do Mahāyāna.; ---"
CAPÍTULO 30: AVALOKITEŚVARA,"O bodhisattva Avalokiteśvara, o grande ser da compaixão.","O Monte Potalaka, descrito como um paraíso terrestre, com pastagens verdejantes, nascentes cristalinas e florestas, onde Avalokiteśvara ensina em uma encosta.","Seguindo a direção de Veṣṭhila, Sudhana finalmente chega à morada de Avalokiteśvara. A visão do bodhisattva o enche de uma fé profunda, e ele reflete que encontrar um kalyāṇamitra é o mesmo que encontrar todos os budas. Avalokiteśvara o saúda, reconhecendo suas qualidades e sua aspiração.","O ""portal sem impedimentos da grande compaixão"". Este é o ensinamento central de Avalokiteśvara, que consiste em uma prática incessante para proteger e libertar todos os seres de todos os tipos de medo e sofrimento, sem exceção. Sua compaixão não é passiva, mas uma força ativa que se manifesta de inúmeras formas para guiar os seres.","Avalokiteśvara manifesta seu poder de várias maneiras. Ele aparece em formas adaptadas às necessidades de cada ser, usa os quatro meios de reunir discípulos (generosidade, palavras amáveis, benefício e consistência) e, o mais importante, oferece proteção contra todos os tipos de medo. Ele recita uma longa prece e versos detalhando como a simples recordação de seu nome pode salvar os seres de perigos físicos (prisão, execução, animais selvagens, fogo, água), sociais (disputas legais, má reputação) e espirituais (renascimentos inferiores, separação de entes queridos).","O diálogo é centrado na compaixão ativa. Após a saudação, Avalokiteśvara explica sua liberação e detalha as inúmeras maneiras pelas quais ele protege os seres do medo. Ele ensina que seu objetivo final é estabelecer todos os seres de forma irreversível no caminho para a iluminação completa.","Uma vasta assembleia de incontáveis bodhisattvas que estão sentados em rochas de joias, ouvindo o ensinamento sobre o amor e a compaixão. No final do capítulo, outro grande bodhisattva, Ananyagāmin, chega do leste de forma milagrosa, fazendo todo o mundo tremer e se transformar em joias.","Sudhana recebe o ensinamento sobre a compaixão em sua forma mais ativa e protetora. Ele aprende que a compaixão de um bodhisattva não é apenas um sentimento, mas uma força poderosa que pode intervir diretamente no mundo para aliviar o sofrimento. A chegada de Ananyagāmin expande ainda mais sua visão sobre as capacidades dos grandes bodhisattvas.","Após seu ensinamento, Avalokiteśvara direciona Sudhana para seu próximo guia, o recém-chegado bodhisattva Ananyagāmin, para que ele possa continuar sua investigação sobre a conduta do bodhisattva.","- A Prece de Proteção: O capítulo contém a famosa prece e os versos de Avalokiteśvara, que se tornaram uma prática central em muitas tradições budistas para invocar proteção contra o medo e o perigo.; - Compaixão Ativa: A ênfase não está apenas em sentir compaixão, mas em manifestá-la ativamente no mundo para proteger os seres.; - Monte Potalaka: O capítulo estabelece a morada mítica de Avalokiteśvara, um local de grande importância na iconografia budista.; - Chegada de Ananyagāmin: A aparição dramática de outro grande bodhisattva no final do capítulo serve para demonstrar a vastidão do cosmos Mahāyāna e a interconexão dos grandes seres.; ---"
CAPÍTULO 31: ANANYAGĀMIN,O bodhisattva Ananyagāmin.,"No pico de uma montanha do sistema de mundos Sahā, tendo chegado do leste.","Relutantemente, mas obediente à instrução, Sudhana deixa Avalokiteśvara e se aproxima do bodhisattva Ananyagāmin, que havia chegado de forma milagrosa.","A liberação do bodhisattva chamada ""o surgimento de todo portal"". Este ensinamento revela a capacidade de um bodhisattva de atravessar distâncias e períodos de tempo inconcebíveis, enquanto simultaneamente beneficia todos os seres e faz oferendas a todos os budas em todos os reinos que encontra pelo caminho.","A principal manifestação é a própria jornada de Ananyagāmin. Ele descreve ter vindo de um reino búdico no leste chamado Śrīgarbhavatī, governado pelo Tathāgata Samantaśrīsaṃbhava. A jornada durou um número de kalpas igual aos átomos em um número inexprimível de reinos búdicos. A cada passo, ele atravessava um número igualmente inconcebível de reinos, fazendo oferendas mentais a cada buda e, ao mesmo tempo, percebendo as mentes de todos os seres e ensinando-lhes o Dharma de forma adaptada. Essa jornada miraculosa foi realizada simultaneamente a partir de todas as dez direções.","Sudhana pergunta a Ananyagāmin sobre a origem de sua liberação. Ananyagāmin primeiro adverte que sua jornada é incompreensível para aqueles sem as raízes de mérito adequadas, mas, com a insistência de Sudhana, ele a descreve em detalhes. Ele revela a vastidão de sua prática, que transcende completamente as noções comuns de tempo, espaço e individualidade, pois ele executa essas tarefas inconcebíveis simultaneamente em todas as direções.","Embora o encontro seja individual, a assembleia implícita é a totalidade de todos os budas e seres que Ananyagāmin encontrou e beneficiou em sua jornada cósmica e multidirecional.","A mente de Sudhana é expandida para uma escala cósmica ainda maior. Ele aprende que a conduta de um bodhisattva avançado não está limitada a uma única localização ou a uma única linha do tempo. A prática pode ser onipresente e atemporal, beneficiando todos os seres em todos os lugares, simultaneamente.","Ananyagāmin, seguindo o padrão, humildemente admite conhecer apenas este portal. Ele direciona Sudhana para o sul, para a cidade de Dvāravatī, para encontrar seu próximo guia, a divindade Mahādeva.","- Jornada Inconcebível: O capítulo oferece a descrição mais detalhada e matematicamente inconcebível de uma jornada espiritual, usando o conceito de ""números inexprimíveis"" (anabhilāpyānabhilāpya) para quebrar as limitações da mente conceitual.; - Prática Multidirecional: A ideia de que a jornada não foi apenas do leste, mas simultaneamente de todas as dez direções, introduz um nível de não-localidade e onipresença ainda mais profundo.; - Ensinamento e Oferenda Simultâneos: Ananyagāmin não apenas viaja, mas ensina e faz oferendas em cada instante de sua jornada, demonstrando a integração perfeita de sabedoria, compaixão e devoção."
CAPÍTULO 32: MAHĀDEVA,A deidade (deva) Mahādeva.,Um templo na encruzilhada da cidade de Dvāravatī.,"Sudhana encontra Mahādeva, uma deidade que ensina o Dharma em uma encruzilhada movimentada, demonstrando sua capacidade de interagir com o mundo de forma direta e poderosa.","A liberação do bodhisattva chamada a ""rede de nuvens"" (net of clouds). Este ensinamento opera de duas maneiras principais:; - Generosidade Ilimitada: Mahādeva manifesta pilhas montanhosas de todos os tesouros, joias, perfumes e oferendas imagináveis, instruindo Sudhana (e inumeráveis outros seres) a usá-los para praticar a generosidade, fazer oferendas aos budas e acumular mérito.; - Meios Hábeis (Upāya) Transformadores: Para diferentes tipos de seres, ele emprega métodos específicos e aparentemente severos para guiá-los:; - Para os apegados aos prazeres sensoriais, ele abençoa os objetos com feiura para quebrar o apego.; - Para os orgulhosos e raivosos, ele manifesta corpos terríveis de rākṣasas para chocá-los e pacificá-los.; - Para os preguiçosos, ele manifesta a ameaça de perigos (fogo, água, ladrões) para inspirar diligência.","- Braços que Alcançam os Oceanos: Mahādeva estende seus quatro braços para trazer água dos quatro grandes oceanos e lavar sua boca, um gesto de poder cósmico.; - Manifestação de Tesouros: Ele materializa, em frente a Sudhana, pilhas do tamanho de montanhas de todos os tipos de tesouros, desde ouro e prata até incontáveis tipos de joias e perfumes, além de trilhões de donzelas.; - Manifestações Ilusórias: Ele cria ilusões de feiura, corpos demoníacos e perigos iminentes como um método de ensinamento.","Mahādeva primeiro louva a raridade e a importância dos bodhisattvas. Ele então demonstra sua liberação, a ""rede de nuvens"", manifestando os tesouros e explicando seus métodos de ensino adaptativos, que visam desviar os seres do não-virtuoso e estabelecê-los nas perfeições.","A assembleia é composta por todos os habitantes da cidade de Dvāravatī e os inumeráveis seres que ele beneficia através de suas manifestações, que são inspirados à generosidade e corrigidos em seu comportamento através de seus meios hábeis.","Sudhana aprende sobre a aplicação dual da sabedoria de um bodhisattva: por um lado, a generosidade ilimitada para criar mérito, e por outro, o uso de meios hábeis, por vezes chocantes e severos, para subjugar as aflições e inspirar a prática correta. Ele aprende que a compaixão pode se manifestar de formas que transcendem as noções convencionais de gentileza.","Mahādeva, com humildade, afirma que conhece apenas esta liberação da ""rede de nuvens"" e não pode compreender a conduta dos bodhisattvas que são como Indra lutando contra os kleshas. Ele direciona Sudhana para a terra de Magadha, no bodhimaṇḍa, para encontrar seu próximo guia: a deusa da terra chamada Sthāvarā.","- Divindade na Encruzilhada: O kalyāṇamitra é uma deidade operando no coração de uma cidade, mostrando a presença do sagrado no mundano.; - Dualidade dos Meios Hábeis: O ensinamento combina a generosidade abundante com métodos de choque aparentemente negativos (induzir aversão, medo e terror) como ferramentas de compaixão.; - Poder Cósmico e Pragmático: Mahādeva demonstra tanto poder em escala cósmica (alcançando os oceanos) quanto uma aplicação muito pragmática e psicológica de seus poderes para influenciar o comportamento dos seres."
CAPÍTULO 33: STHĀVARĀ,"Sthāvarā, a deusa da terra.",O bodhimaṇḍa (local da iluminação) na terra de Magadha.,"Ao chegar ao bodhimaṇḍa, Sudhana é recebido por Sthāvarā e um milhão de outras deusas da terra que, em sua chegada, fazem o mundo tremer, chover flores e perfumes, e revelam tesouros da terra. Sthāvarā se apresenta como uma testemunha das raízes de mérito que o próprio Sudhana plantou naquele local em vidas passadas.","A liberação do bodhisattva chamada a ""essência da sabedoria invencível"". O ensinamento central é que as práticas e méritos de um bodhisattva não se perdem, mas são preservados e testemunhados pela própria terra. Sthāvarā demonstra que a jornada de Sudhana é sustentada por suas próprias ações passadas, revelando a ele os frutos tangíveis de seu mérito.","A principal manifestação é a revelação dos tesouros de Sudhana. Ao bater o pé no chão, Sthāvarā faz com que surjam da terra milhões de tesouros preciosos, explicando que eles são o amadurecimento do mérito de Sudhana e estão lá para ele usar. Outros milagres incluem o tremor da terra, a iluminação do mundo, o florescimento de todas as árvores e o som de incontáveis instrumentos musicais.","Sthāvarā pergunta a Sudhana se ele deseja ver a prova de seus méritos passados. Após a concordância de Sudhana, ela revela os tesouros. Ela então explica sua própria liberação, a ""essência da sabedoria invencível"", que ela pratica desde a era do Buda Dīpaṅkara, o que lhe permite seguir e proteger todos os bodhisattvas e testemunhar a atividade incessante de todos os budas.",Um milhão de deusas da terra que agem em uníssono com Sthāvarā para receber Sudhana.,"Sudhana aprende uma lição fundamental sobre a causalidade kármica: ele vê, de forma concreta, que suas ações passadas geraram resultados tangíveis que agora sustentam sua jornada espiritual. Ele compreende que o caminho do bodhisattva é contínuo através das vidas e que o próprio mundo serve como guardião e testemunha do mérito.","Sthāvarā, humildemente, afirma que conhece apenas esta liberação e não pode compreender a conduta dos bodhisattvas mais avançados. Ela direciona Sudhana para a cidade de Kapilavastu para encontrar seu próximo guia, a deusa da noite Vāsantī.","O Mérito Próprio como Tesouro: A manifestação dos tesouros não é um presente, mas a revelação do mérito acumulado pelo próprio praticante.; A Terra como Testemunha: O papel da deusa da terra como guardiã e testemunha das ações meritórias, reforçando a ideia de que nenhuma boa ação é esquecida.; Conexão com o Bodhimaṇḍa: O encontro ocorre no local mais sagrado da iluminação, conectando a jornada de Sudhana diretamente ao caminho de todos os budas."
CAPÍTULO 34: VĀSANTĪ,"Vāsantī, a deusa da noite.","No céu, acima da cidade de Kapilavastu.","Ao chegar a Kapilavastu ao anoitecer, Sudhana vê Vāsantī em um kūṭāgāra (pavilhão) de joias no céu. Seu corpo é da cor do ouro e contém as estrelas, a lua e os planetas. Dentro de seus poros, Sudhana vê uma manifestação de toda a sua atividade compassiva, incluindo todos os seres que ela já salvou e os métodos que ela usa para guiá-los.","A liberação do bodhisattva chamada ""o portal para guiar os seres através da radiância do Dharma que elimina a escuridão de todos os seres"". O ensinamento de Vāsantī é a compaixão protetora em ação. Ela se dedica a ser um refúgio para todos os que sofrem, especialmente na escuridão e no perigo, usando vários métodos para protegê-los de danos físicos e guiá-los para longe do sofrimento espiritual e das visões errôneas.","A principal manifestação é a visão que Sudhana tem dentro dos poros de Vāsantī, onde ele vê todos os seres que ela ajudou, seus métodos de ensino e sua própria jornada de bodhisattva. Além disso, ela detalha como manifesta formas adaptadas (como o sol, a lua, um capitão de navio, um rei cavalo, ou a luz de ervas em chamas) para proteger ativamente os seres de perigos específicos, como naufrágios, se perder em desertos, cair de penhascos ou serem atacados por bandidos.","Vāsantī explica sua liberação e detalha exaustivamente as formas como protege os seres em todos os tipos de situações perigosas e escuras. Ela então narra a história de sua aspiração original, que surgiu na presença do Buda Sarva­dharma­nigarjita­rāja em uma vida passada, e como ela obteve essa liberação na presença do Buda Sumeru­dhvajāyatana­śānta­netra­śrī.","A assembleia é visionária, percebida dentro dos poros de Vāsantī. É composta por todos os incontáveis seres que ela protegeu e guiou em todos os reinos e situações, desde aqueles que ela salvou de renascimentos inferiores até aqueles que ela estabeleceu no caminho da onisciência.","Sudhana aprende sobre a compaixão como uma força ativa, protetora e incansável que opera nos momentos de maior vulnerabilidade dos seres (a noite, a escuridão, o perigo). Ele compreende que o trabalho de um bodhisattva é ser um refúgio universal, dissipando não apenas a escuridão da ignorância, mas também a escuridão literal que traz medo e sofrimento.","Vāsantī humildemente admite que conhece apenas este portal da liberação. Ela direciona Sudhana para encontrar a próxima deusa da noite no bodhimaṇḍa, chamada Samanta­gambhīra­śrī­vimala­prabhā.","- Protetora da Escuridão: O papel único de Vāsantī como uma deusa da noite cuja prática se concentra em proteger os seres durante a escuridão física e espiritual.; - Catálogo de Proteções: O capítulo contém um catálogo detalhado e vívido de como ela intervém em situações de perigo, mostrando a aplicação prática e multifacetada da compaixão.; - Visão nos Poros: A manifestação de sua atividade salvadora dentro de seus próprios poros é uma poderosa imagem da vastidão da prática de um bodhisattva."
CAPÍTULO 35: SAMANTA GAMBHĪRA ŚRĪ VIMALA PRABHĀ,A deusa da noite Samanta­gambhīra­śrī­vimala­prabhā.,"No bodhimaṇḍa, na terra de Magadha, próximo a Vāsantī.",Sudhana encontra outra deusa da noite que personifica a profundidade da meditação (śamatha) e a visão clara da natureza dos budas.,"A liberação do bodhisattva chamada ""completa subjugação através da bem-aventurança da paz de śamatha"". A deusa ensina a Sudhana dez qualidades essenciais para a prática do bodhisattva, incluindo a percepção direta dos tathāgatas, a visão de seus corpos, a compreensão de seus oceanos de qualidades, luzes, emanações e ensinamentos. Sua própria liberação lhe permite perceber que os budas são, em sua verdadeira natureza, não-nascidos, incessantes e como uma ilusão — transcendendo os conceitos de existência e não-existência.","A manifestação central é a sua visão meditativa. Através de seu samādhi, ela percebe todos os budas dos três tempos, seus reinos e assembleias. Ela também descreve como usa a meditação para guiar os seres, por exemplo, instilando a percepção da feiura nos prazeres carnais para quebrar o apego e inspirando aqueles com pensamentos virtuosos, criando as condições para que alcancem a onisciência.","Em resposta à pergunta de Sudhana, a deusa primeiro lista as dez qualidades que um bodhisattva deve possuir. Em seguida, ela explica sua própria liberação, detalhando como ela percebe a natureza fundamental dos tathāgatas como estando além de qualquer conceito dualista. Ela também explica como aplica as quatro dhyānas (absorções meditativas) com uma motivação compassiva para beneficiar todos os seres.","A assembleia é a sua própria visão interna de todos os tathāgatas do passado, presente e futuro, que ela percebe através de sua profunda absorção meditativa.","Sudhana aprende sobre a importância das qualidades fundamentais para a prática e sobre o poder da meditação śamatha (calma mental) como base para a sabedoria. Ele compreende que a verdadeira natureza dos budas transcende conceitos de vinda e ida, e que a meditação profunda é uma ferramenta poderosa para a atividade compassiva no mundo.","A deusa, humildemente, afirma conhecer apenas esta liberação e direciona Sudhana para encontrar a próxima deusa da noite, Pramudita­nayana­jagad­virocanā, que está próxima.","- As Dez Qualidades do Bodhisattva: O capítulo fornece uma lista clara e estruturada de dez qualidades que definem a prática de um bodhisattva.; - A Natureza Não-Dual dos Budas: Oferece uma explicação filosófica profunda sobre a natureza dos tathāgatas, descrevendo-os como além do nascimento, cessação, verdade e falsidade.; - Meditação como Ação: Demonstra como os estados meditativos (dhyānas) não são um fim em si mesmos, mas uma base para a ação compassiva e para guiar os seres de forma eficaz."
CAPÍTULO 36: PRAMUDITA NAYANA JAGAD VIROCANĀ,A deusa da noite Pramudita­nayana­jagad­virocanā.,"No bodhimaṇḍa, dentro da grande assembleia do Buda.","Sudhana se aproxima da deusa, cujo nome significa ""Aquela Cujos Olhos Alegres Iluminam o Mundo"". Ela está em um profundo samādhi chamado ""o estandarte do poder da vasta, imaculada e perfeitamente boa alegria"".","A liberação do bodhisattva que demonstra a alegria incessante e ilimitada da prática das Dez Perfeições (Pāramitās) para o benefício de todos os seres. O ensinamento não é verbal, mas uma demonstração visionária.","De cada poro do corpo da deusa, Sudhana testemunha a emanação de nuvens de corpos, tão numerosos quanto todos os seres, que se espalham por todos os reinos. Cada nuvem de emanações se dedica à prática e ao ensino de uma das Dez Perfeições: Generosidade, Disciplina, Paciência, Diligência, Meditação, Sabedoria, Meios Hábeis, Prece, Poder e Conhecimento. Essas emanações assumem a forma de todos os tipos de seres (devas, nāgas, humanos, etc.) para ensinar o Dharma de uma maneira perfeitamente adaptada a cada um.","Após Sudhana louvar o que viu, ele pergunta há quanto tempo ela alcançou essa liberação. A deusa narra uma longa história de suas vidas passadas, começando com sua primeira aspiração à iluminação há incontáveis kalpas, na presença do Buda Śrīsamudra. Ela detalha as eras e os muitos budas que encontrou, mostrando a imensa perseverança necessária até que, finalmente, na presença do Buda Ratnaśrīpradīpaguṇaketu, ela atingiu esta liberação. Ela também revela que Mañjuśrī foi um rei em uma de suas vidas passadas.","A assembleia é universal, composta por todas as nuvens de emanações e todos os seres nos infinitos reinos que estão sendo ensinados e beneficiados por elas.","Sudhana recebe a mais detalhada visão da prática das Dez Perfeições, não como conceitos abstratos, mas como uma atividade cósmica, multifacetada e cheia de alegria. Ele aprende que a verdadeira prática do bodhisattva é uma expressão espontânea e inesgotável que emana da realização para o bem de todos.","A deusa humildemente admite que só conhece este portal da liberação da alegria compassiva e direciona Sudhana para a próxima deusa da noite, Samanta­sattva­trāṇojaḥ­śrī.","- As Dez Perfeições em Ação: A mais explícita e sistemática demonstração das Dez Perfeições manifestadas como uma atividade universal e simultânea.; - Alegria como Força Motriz: O capítulo enfatiza a ""alegria"" (pramuditā) como um componente essencial da prática do bodhisattva, que surge do ato de beneficiar os outros.; - Narrativa de Vidas Passadas (Jātaka): A longa história da jornada da deusa através de eras e sob múltiplos budas, destacando a escala de tempo e esforço da prática.; - Conexão com Mañjuśrī: A revelação de que Mañjuśrī desempenhou um papel em seu passado reforça a interconexão de todos os guias na jornada de Sudhana."
CAPÍTULO 37: SAMANTA SATTVA TRĀṆOJAḤ ŚRĪ,A deusa da noite Samanta­sattva­trāṇojaḥ­śrī.,No bodhimaṇḍa.,"Continuando sua jornada através da assembleia de deusas da noite, Sudhana encontra Samanta­sattva­trāṇojaḥ­śrī, cujo nome significa ""Glória do Poder que Protege Todos os Seres"".","A liberação do bodhisattva chamada ""a manifestação da grande compaixão que protege todos os seres e os estabelece na prática"". Este ensinamento foca na compaixão como a raiz de toda a prática do bodhisattva. A deusa demonstra que a verdadeira compaixão não é um sentimento passivo, mas a força motriz que leva um bodhisattva a entrar em todos os reinos e interagir com todos os tipos de seres para aliviar seu sofrimento e guiá-los à iluminação.","De seu corpo emanam nuvens de luz que alcançam todos os seres em todos os reinos, extinguindo os sofrimentos dos infernos, a miséria dos pretas (fantasmas famintos) e a brutalidade dos animais. A luz então assume a forma de bodhisattvas que ensinam o Dharma de acordo com as necessidades de cada ser, guiando-os para fora do sofrimento e em direção à felicidade e, finalmente, à iluminação.","A deusa explica a Sudhana que sua liberação é a manifestação da compaixão universal. Ela descreve como, ao longo de incontáveis kalpas, ela cultivou a compaixão como sua prática central, fazendo oferendas a todos os budas e aspirando a proteger todos os seres. Ela narra como sua compaixão a leva a entrar em todos os reinos de sofrimento para resgatar os seres, agindo como uma mãe para os desprotegidos.","A assembleia é composta por todos os seres em todos os reinos de sofrimento (infernos, reinos animais, mundos dos pretas, etc.) que são os beneficiários diretos de sua compaixão e suas emanações milagrosas.","Sudhana aprofunda sua compreensão da compaixão como a fundação indispensável para a conduta do bodhisattva. Ele vê que todas as práticas e poderes de um bodhisattva emanam de um compromisso compassivo de aliviar o sofrimento, não importa onde ele se encontre.","A deusa, com humildade, afirma que seu conhecimento se limita a este portal da compaixão protetora. Ela direciona Sudhana para a próxima deusa da noite, Praśāntarutasāgaravatī.","- Compaixão como Raiz: O capítulo enfatiza a compaixão (karuṇā) como a raiz de todas as outras práticas de bodhisattva.; - Alívio Direto do Sofrimento: A manifestação de sua liberação é focada diretamente em aliviar as formas mais intensas de sofrimento nos reinos inferiores, mostrando a aplicação mais urgente da compaixão.; - Maternidade Universal: A deusa se descreve como uma mãe para todos os seres, reforçando a ideia da compaixão como um amor incondicional e protetor."
CAPÍTULO 38: PRAŚĀNTARUTASĀGARAVATĪ,A deusa da noite Praśāntarutasāgaravatī.,No bodhimaṇḍa.,"Sudhana encontra a próxima deusa da noite, cujo nome significa ""Aquela Cujo Som é Pacífico como o Oceano"", e ela o ensina sobre a alegria que surge da visão da atividade búdica.","A liberação do bodhisattva chamada ""a exibição em cada instante mental do surgimento do poder de vasta alegria"". O ensinamento central é que a alegria de um bodhisattva surge da contemplação da vastidão da atividade dos budas e de sua própria capacidade de beneficiar os seres. Ela explica que sua prática é eliminar o sofrimento e a infelicidade e, em seguida, guiar os seres para o deleite do Dharma, culminando na felicidade suprema da onisciência.","A principal manifestação é a alegria visionária da deusa. Ao ver o corpo do Buda Vairocana, suas emanações de luz, as emanações de corpos de budas de seus poros, as emanações de incontáveis praticantes do caminho do bodhisattva e a emanação de todos os tipos de seres (devas, nāgas, etc.), ela experimenta um oceano de alegria em cada instante. Essa alegria não é passiva, mas a inspira a ensinar o Dharma de uma forma que traz felicidade a todos.","A deusa descreve sua liberação como uma fonte de alegria inesgotável. Ela detalha as várias visões que a enchem de alegria — como ver as assembleias de bodhisattvas, o corpo do Buda Vairocana e suas manifestações infinitas. Ela também explica como usa essa alegria para ensinar o Dharma, adaptando-o para transformar o apego em desapego e a ignorância em sabedoria. Ela narra sua jornada passada, começando com sua aspiração sob o Buda Avivartyadharmadhātunirghoṣa.","A assembleia é multifacetada, consistindo em sua própria visão dos budas e bodhisattvas, e também em todos os seres que ela guia, desde aqueles que ela desencoraja dos prazeres mundanos até aqueles que ela estabelece no caminho para a iluminação.","Sudhana aprende que a alegria é um componente essencial e um resultado da prática do bodhisattva. Ele entende que a contemplação das qualidades e atividades dos budas é uma fonte inesgotável de inspiração e deleite, que por sua vez se torna a energia para beneficiar os outros.","A deusa humildemente admite que conhece apenas este portal da alegria e direciona Sudhana para a próxima deusa da noite, Sarvanagararakṣāsambhavatejaḥśrī.","- Alegria Contemplativa: A prática é centrada na alegria que surge da visão da atividade búdica, em vez de uma ação externa.; - Catálogo de Alegrias: O capítulo oferece uma lista detalhada das visões que provocam a alegria da deusa, fornecendo um roteiro para a contemplação.; - Dharma Adaptativo: Ela fornece exemplos específicos de como ensina o Dharma de forma diferente para aqueles com apego, raiva ou ignorância, mostrando a aplicação precisa de meios hábeis."
CAPÍTULO 39: SARVA NAGARA RAKṢĀ SAṂBHAVA TEJAḤ ŚRĪ,Interaction with Sarva nagara rakṣā saṃbhava tejaḥ śrī.,Seated amongst precious jewels and myriad emanations.,Insight into achieving pure intentions and guiding beings.,-  Wisdom that permeates existence.,-  Counts of light and aspiration guidance.,-  Expands on illumination and archiving universal enlightenment.,,-  Continued commitment to purity of wisdom.,-  Continuous encounter with divine inspirations.,-  Guidance of wisdom into worldly realms.
CAPÍTULO 40: SARVA VṚKṢPRAPHULLANA SUKHA SAṂVĀSĀ,Goddess Sarva vṛkṣpraphullana sukha saṃvāsā.,Among thrice-blessed trees and beings.,Toward spreading joy and peace.,-  Spreading joy and its divine association.,-  Radiating delight among worldly realms.,-  Engagement for enlightenment happiness.,,-  Integration of joy within spiritual purpose.,-  Journey furthered through joy enlightenment.,-  Happiness as wisdom’s beacon.
CAPÍTULO 41: SARVA JAGAD RAKṢĀ PRAṆIDHĀNA VĪRYA PRABHĀ,Association with Sarva jagad rakṣā praṇidhāna vīrya prabhā.,Emanating with all nature’s forms.,As many emanations equally filling directions of spiritual pursuits.,-  Wisdom’s constant companion with collaboration.,-  Manifestations of beneficial paths of guidance.,-  Adventure through interconnected guidance.,,-  Boundless cultivation of wisdom’s roll.,-  Inward dedication by worldly illumination.,-  Expansive cultivation of truth and discovery.
